ques,ans
"Who started Namami Gange?
","Namami Gange Programme is an Integrated Conservation Mission, approved as a Flagship Programme by the Union Government of India in June 2014 with a budget outlay of Rs. 22,500 crore from 2023-26 to accomplish the twin objectives of effective abatement of pollution, conservation and rejuvenation of National River Ganga.
"
"
","
"
"What do you mean by Namami Gange?
","The Namami Gange is an integrated conservation programme approved by the government of India to accomplish the twin objectives of effective abatement of pollution, conservation and rejuvenation of the Ganga.
"
"
","
"
"When was Namami Gange programme initiated?
","Namami Gange Programme was launched in June 2014 for a period up to 31st March, 2021 to rejuvenate River Ganga and its tributaries with a budgetary outlay of Rs. 20,000 crore.
"
"
","
"
"Which states are included in Namami Gange project?
","The current focus of world bank funded National Ganga River Basin Projects (NGRBP) of NMCG is on five major states on the main stem of river Ganga namely Uttarakhand, Uttar Pradesh, Jharkhand, Bihar and West Bengal.
"
"
","
"
"Where is Namami Gange project located?
","Accordingly, Forest Research Institute (FRI), Dehradun prepared a Detailed Project Report (DPR) for afforestation in an area of 1,34,106 hectares in the Ganga river bank states of Uttarakhand, Uttar Pradesh, Bihar, Jharkhand and West Bengal at an estimated cost of Rs. 2293.73 Crores.
"
"
","
"
"Who launched clean Ganga project?
","Union Finance Minister, Arun Jaitley announced the implementation of Namami Gange on 10 July 2014. This programme was established as a conservation mission with a budget of Rs. 20,000 crore. Namami Gange aims at reducing the pollution of the river Ganga along with the conservation and rejuvenation of the river banks.
"
"
","
"
"Who is the mascot of Namami Gange?
","At the 37th Executive Committee meeting of the National Mission for Clean Ganga (NMCG), chaired by Shri Rajiv Ranjan Mishra, Director General, NMCG, Chacha Chaudhary was declared as the mascot of the Namami Gange Programme andsome major projects in Uttar-Pradesh and Bihar were discussed and evaluated.
"
"
","
"
"Is Namami Gange successful?
","A/It is a big recognition for the Namami Gange. The United Nations is celebrating 2021-30 as the decade of ecosystem restoration. At the 15th Conference of Parties (COP15) to the Convention on Biodiversity, the UN announced Namami Gange as one of the top 10 world restoration flagships
"
"
","
"
"What are the five objectives of Namami Gange program?
","To provide sewage facilities through sewage management project in states like Bihar, Jharkhand, etc. To ensure biodiversity conservation through projects like Conservation in Ganga river, Ganges river dolphin conservation education programme and Biodiversity conservation and Ganga rejuvenation.
"
"
","
"
"How many projects are there in Namami Gange?
","The Namami Gange Executive Committee has approved nine projects, worth over Rs 1,278 crore focusing on controlling pollution, rejuvenation and development of the river stretches passing through various states
"
"
","
"
"Which NGO is working for Ganga cleaning?
","SMF runs the Swatcha Ganga (Clean Ganges) program, and so SMF is sometimes referred to as ""Swatcha Ganga"". Historically, Sankat Mochan Foundation has managed support from both the Indian government and private foreign donors.
"
"
","
"
"Which companies are working for Namami Gange project?
","Amer Maritime will take up ghat development in Kanpur, HCL has plans for holistic development of ghats in Varanasi, bio remediation, tree plantation community development and Ganga Gram development. Reliance Industries has plans for ghat development at Varanasi, Allahabad, Delhi, Haridwar, Kedarpuri and Rishikesh
"
"
","
"
"Who is the director of Namami Gange?
","New Delhi: The director general of the National Mission for Clean Ganga (NMCG), G. Asok Kumar, on Monday said that the Namami Gange initiative, aimed at restoring the Ganges river, has entailed a substantial financial commitment of $4.5 billion.
"
"
","
"
